Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.011304796, -0.01012826, 0.039972305]","[53.98563, -11.377886, 1.8460708]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.006236464, -0.006043434, -0.005830765]","[53.98718, -11.381609, 1.851806]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.0013446808, 0.010816455, -0.017294884]","[53.98697, -11.380908, 1.8515906]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.00032535195, -0.004689455, 0.010543823]","[53.98848, -11.387745, 1.8447485]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.01840061, -0.015189171, -0.02137661]","[53.98532, -11.378467, 1.8397335]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.017559737, 0.030887365, 0.02281475]","[53.98398, -11.374344, 1.8383886]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.02067098, -0.028075337, -0.032323837]","[53.98318, -11.371564, 1.838434]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[3.0400805528150952e-06, 1.5532972584376738e-06]"
,,,"[True, True, False]",
"[0.012619495, -0.008054376, 0.017407417]","[53.98132, -11.365448, 1.8381917]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.0400805528718223e-06, 1.5532972584557256e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[3.040080552928664e-06, 1.5532972584737487e-06]"
,,,"[True, True, False]",
"[0.0011505485, 0.027790308, 0.026586533]","[53.9747, -11.347177, 1.8227013]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.007354349, -0.024251342, -0.017076492]","[53.97446, -11.345144, 1.8273759]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.01717496, 0.011397958, 0.035708427]","[53.97414, -11.344441, 1.825878]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.021948725, 0.006870389, 0.033815384]","[53.9746, -11.344318, 1.8322542]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.020658284, 0.00592649, -0.010383606]","[53.9767, -11.351217, 1.8331233]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.015149832, 0.025557876, 0.020429611]","[53.9799, -11.360734, 1.8379139]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[3.040080552985617e-06, 1.5532972584917384e-06]"
"[0.0077067614, 0.038620353, 0.014742851]","[53.98203, -11.3675165, 1.8392175]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.020986468, 0.031208754, 0.07203388]","[53.98264, -11.369213, 1.8406094]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.022443831, 0.0073127747, 0.00064086914]","[53.98288, -11.371112, 1.8365895]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.016872287, -0.0009199381, -0.049827576]","[53.98442, -11.374709, 1.8425068]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.0056461096, 0.032095075, 0.01651001]","[53.98468, -11.376852, 1.837523]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
